Hand 1 landmarks:
0.562666 0.861499 0.000000
0.523081 0.852935 0.001409
0.479564 0.853966 0.003388
0.448756 0.857714 0.003960
0.423908 0.865295 0.004505
0.466925 0.863816 0.004204
0.426535 0.877693 -0.002263
0.399125 0.890615 -0.008689
0.378089 0.903635 -0.013492
0.469039 0.873115 -0.000957
0.429264 0.887928 -0.007534
0.401803 0.900860 -0.014994
0.377640 0.914142 -0.020712
0.473694 0.883886 -0.006612
0.434815 0.898270 -0.012408
0.409135 0.910567 -0.016662
0.386725 0.923753 -0.019837
0.480703 0.894461 -0.012307
0.449474 0.905678 -0.017320
0.429041 0.913979 -0.018804
0.411442 0.923193 -0.019648

