Hand 1 landmarks:
0.215041 0.918840 -0.000000
0.174560 0.854594 -0.020523
0.177605 0.760309 -0.041817
0.214944 0.685664 -0.053911
0.265257 0.670455 -0.060642
0.181825 0.822628 -0.108323
0.210918 0.685732 -0.129310
0.215704 0.703636 -0.116427
0.215170 0.744424 -0.104522
0.231059 0.841202 -0.103255
0.259299 0.707224 -0.124983
0.250453 0.731086 -0.101882
0.240930 0.772549 -0.085407
0.272446 0.853002 -0.095143
0.290565 0.725123 -0.107811
0.280237 0.744527 -0.084440
0.270750 0.783637 -0.069997
0.302616 0.854933 -0.087854
0.329435 0.778966 -0.107852
0.346328 0.740615 -0.114202
0.362774 0.713781 -0.119326

