Hand 1 landmarks:
0.240612 0.865899 0.000000
0.281762 0.850361 -0.010595
0.319414 0.837127 -0.028026
0.337925 0.851866 -0.047540
0.336511 0.875505 -0.067985
0.318527 0.742245 -0.035432
0.356022 0.747269 -0.062730
0.385913 0.756789 -0.082286
0.411404 0.761261 -0.096222
0.283483 0.727704 -0.045709
0.317039 0.830284 -0.076414
0.308650 0.876596 -0.083938
0.296305 0.882657 -0.086714
0.247021 0.745824 -0.056785
0.279359 0.855134 -0.083188
0.275349 0.879586 -0.079597
0.266954 0.863665 -0.074022
0.213847 0.776210 -0.069314
0.244145 0.855271 -0.084782
0.246819 0.876805 -0.079175
0.240136 0.865428 -0.072878

