Hand 1 landmarks:
0.326587 0.790872 0.000000
0.381696 0.785061 0.006435
0.428527 0.822465 -0.001296
0.452388 0.873104 -0.010138
0.463145 0.918616 -0.019317
0.459498 0.818740 -0.031176
0.493326 0.907542 -0.045676
0.507111 0.962383 -0.052090
0.516253 1.000029 -0.055701
0.434304 0.848159 -0.042645
0.466387 0.944010 -0.055252
0.451915 0.956369 -0.050708
0.437850 0.942827 -0.046707
0.401568 0.878841 -0.051448
0.425527 0.959369 -0.058048
0.410683 0.954522 -0.043614
0.399083 0.931547 -0.033530
0.367848 0.904916 -0.059735
0.389482 0.964397 -0.056085
0.380191 0.954020 -0.039991
0.371264 0.931096 -0.028780

