Hand 1 landmarks:
0.315715 0.429188 0.000000
0.362918 0.437150 -0.014406
0.409613 0.416569 -0.020401
0.450626 0.406664 -0.027034
0.483825 0.408193 -0.033685
0.405934 0.287279 0.001055
0.440508 0.231204 -0.009942
0.462695 0.198124 -0.021995
0.481607 0.167660 -0.030818
0.392499 0.264848 -0.002485
0.430098 0.197964 -0.011655
0.454907 0.156898 -0.023087
0.475301 0.122453 -0.031362
0.374805 0.251672 -0.009238
0.410981 0.182855 -0.019133
0.436695 0.143804 -0.027469
0.457928 0.112810 -0.032574
0.351974 0.245724 -0.018023
0.380652 0.190367 -0.026603
0.403470 0.157593 -0.029632
0.425156 0.130509 -0.031086

