Hand 1 landmarks:
0.691023 0.900882 0.000000
0.656277 0.826406 -0.009566
0.598334 0.804563 -0.021266
0.552335 0.826546 -0.030319
0.523842 0.858760 -0.040515
0.583035 0.808244 -0.047850
0.513238 0.822406 -0.061227
0.477171 0.833685 -0.067662
0.448914 0.845894 -0.071010
0.580626 0.863449 -0.048014
0.506679 0.875236 -0.064051
0.457856 0.882112 -0.069138
0.420290 0.894550 -0.073330
0.582161 0.915354 -0.044782
0.525625 0.900126 -0.054315
0.540579 0.884456 -0.044840
0.560377 0.881993 -0.036663
0.584719 0.956216 -0.041953
0.534574 0.928481 -0.043584
0.545161 0.914690 -0.031133
0.562906 0.912479 -0.021373

Hand 2 landmarks:
0.288775 0.873058 0.000000
0.315128 0.808257 -0.009351
0.366417 0.779619 -0.024296
0.415723 0.785860 -0.036044
0.448974 0.799504 -0.048762
0.364602 0.770056 -0.059316
0.431644 0.759979 -0.080234
0.470358 0.760175 -0.089476
0.500695 0.762046 -0.093909
0.365134 0.820913 -0.063547
0.436662 0.810268 -0.083693
0.480773 0.804883 -0.089362
0.514960 0.803968 -0.092865
0.368383 0.872512 -0.065125
0.442477 0.861035 -0.078666
0.484633 0.849915 -0.080232
0.513330 0.844528 -0.080470
0.373342 0.915945 -0.066559
0.434326 0.901589 -0.073792
0.470178 0.889019 -0.072617
0.498248 0.882483 -0.070817

