Hand 1 landmarks:
0.286673 0.833092 0.000000
0.318134 0.796542 -0.015340
0.332041 0.755376 -0.027229
0.337711 0.721970 -0.040958
0.343127 0.693541 -0.053676
0.314604 0.680356 -0.020513
0.322786 0.613151 -0.041230
0.324852 0.570358 -0.052631
0.325403 0.535444 -0.058759
0.283453 0.687282 -0.024146
0.301678 0.668776 -0.059088
0.315699 0.706948 -0.066800
0.324995 0.743856 -0.062729
0.257629 0.702192 -0.029398
0.283299 0.707017 -0.059225
0.297635 0.745202 -0.054299
0.305020 0.777420 -0.041499
0.236068 0.723902 -0.036589
0.259551 0.726115 -0.053202
0.275075 0.751506 -0.047569
0.283230 0.773482 -0.036959

