Hand 1 landmarks:
0.217651 0.693780 0.000000
0.261254 0.678172 -0.018824
0.293639 0.637931 -0.034616
0.306584 0.600578 -0.051280
0.317177 0.575821 -0.068003
0.298426 0.532912 -0.035860
0.335921 0.466306 -0.064970
0.361325 0.417658 -0.082332
0.380882 0.377486 -0.093045
0.255174 0.517832 -0.040521
0.282226 0.541150 -0.084673
0.279253 0.609127 -0.092574
0.273006 0.658645 -0.087971
0.214670 0.526750 -0.046736
0.244827 0.575391 -0.086388
0.249101 0.631381 -0.080605
0.247252 0.669476 -0.066628
0.177112 0.551330 -0.054857
0.206162 0.589447 -0.082375
0.224517 0.635905 -0.078626
0.234986 0.666939 -0.067584

