Hand 1 landmarks:
0.728732 0.838372 0.000000
0.689603 0.817784 -0.012687
0.661153 0.770745 -0.024766
0.638427 0.735090 -0.038365
0.616813 0.710611 -0.051365
0.681162 0.675424 -0.007943
0.652441 0.645696 -0.037862
0.629698 0.662914 -0.062864
0.616045 0.686990 -0.075524
0.707471 0.655618 -0.015807
0.693761 0.578887 -0.034466
0.683727 0.527131 -0.046974
0.674313 0.481065 -0.053403
0.737478 0.661517 -0.027987
0.742177 0.585348 -0.047491
0.744722 0.535533 -0.055174
0.743750 0.489661 -0.057026
0.765163 0.689018 -0.041439
0.784075 0.631902 -0.053835
0.796819 0.593726 -0.052618
0.805888 0.557196 -0.049152

Hand 2 landmarks:
0.420429 0.860986 0.000000
0.460613 0.843027 -0.013998
0.494631 0.789004 -0.023926
0.524556 0.745549 -0.034511
0.551746 0.712110 -0.043590
0.469479 0.695587 -0.011908
0.506537 0.658812 -0.038713
0.535267 0.668640 -0.058102
0.556278 0.691180 -0.067518
0.447338 0.671335 -0.018420
0.467015 0.591826 -0.035452
0.489058 0.543092 -0.044886
0.507151 0.500059 -0.049554
0.421585 0.670278 -0.029044
0.424181 0.588995 -0.047930
0.435255 0.533923 -0.055092
0.446446 0.487617 -0.057102
0.394014 0.690207 -0.041226
0.380639 0.627652 -0.057868
0.376913 0.579353 -0.061333
0.377221 0.535737 -0.060959

