Hand 1 landmarks:
0.235027 0.776754 -0.000000
0.245715 0.750219 -0.054940
0.213424 0.747311 -0.074022
0.160971 0.755870 -0.080282
0.113145 0.766468 -0.083398
0.190266 0.728170 -0.065240
0.173258 0.742976 -0.089837
0.153413 0.757219 -0.102488
0.130885 0.768612 -0.112394
0.161801 0.756365 -0.046371
0.148839 0.813336 -0.072842
0.172584 0.819951 -0.075336
0.189692 0.810231 -0.073911
0.146825 0.787122 -0.031811
0.149464 0.838947 -0.059843
0.176943 0.832601 -0.055086
0.184593 0.813146 -0.047779
0.142590 0.815432 -0.021460
0.152943 0.851138 -0.044400
0.174288 0.841785 -0.045617
0.178261 0.821959 -0.043341

