Hand 1 landmarks:
0.676517 0.590753 0.000000
0.658015 0.551063 -0.000217
0.603695 0.525901 -0.014770
0.550210 0.531390 -0.028114
0.512600 0.544446 -0.045159
0.602763 0.504275 -0.057628
0.521500 0.483544 -0.086536
0.472182 0.467083 -0.106641
0.429793 0.454249 -0.119497
0.596362 0.531133 -0.069571
0.505299 0.513407 -0.088471
0.457596 0.511364 -0.093968
0.424600 0.508746 -0.099433
0.590044 0.561716 -0.077886
0.502200 0.557994 -0.094072
0.516724 0.567731 -0.082316
0.543878 0.570940 -0.072014
0.586845 0.594114 -0.085556
0.522810 0.584919 -0.099164
0.540286 0.589024 -0.085811
0.567032 0.589957 -0.072734

Hand 2 landmarks:
0.284364 0.610028 0.000001
0.323304 0.582733 -0.007513
0.387205 0.576777 -0.033964
0.437545 0.596901 -0.060636
0.454955 0.621339 -0.086602
0.371456 0.548184 -0.076105
0.430966 0.528928 -0.111778
0.471098 0.517332 -0.135633
0.504019 0.505406 -0.154273
0.357414 0.565674 -0.092865
0.431548 0.550820 -0.138180
0.476615 0.535959 -0.161374
0.509058 0.523257 -0.178114
0.344656 0.593925 -0.104412
0.440082 0.607338 -0.130748
0.435135 0.618553 -0.115121
0.415080 0.621295 -0.101791
0.340390 0.626609 -0.117518
0.416213 0.636309 -0.130338
0.408874 0.636535 -0.115382
0.387154 0.632325 -0.103060

