Hand 1 landmarks:
0.253820 0.693663 0.000000
0.294050 0.643286 -0.016021
0.322035 0.569769 -0.024168
0.324926 0.502242 -0.034935
0.296170 0.464831 -0.045778
0.292633 0.495320 -0.009541
0.308420 0.413754 -0.028886
0.315744 0.368098 -0.039380
0.323171 0.322665 -0.045578
0.261881 0.500156 -0.013901
0.283656 0.451999 -0.049781
0.293123 0.508970 -0.058925
0.297087 0.556042 -0.055353
0.230926 0.511941 -0.020573
0.258476 0.476249 -0.058721
0.269304 0.544492 -0.053653
0.272048 0.597896 -0.037906
0.199258 0.530645 -0.028482
0.227125 0.491918 -0.053319
0.243466 0.534473 -0.046976
0.249224 0.576737 -0.034480

