Hand 1 landmarks:
0.362957 0.800475 0.000000
0.327964 0.729266 0.001327
0.321930 0.645700 -0.011323
0.345807 0.574232 -0.024575
0.372482 0.531660 -0.036329
0.301980 0.634693 -0.040871
0.344029 0.516706 -0.062083
0.378664 0.481051 -0.067030
0.403246 0.474724 -0.064651
0.342573 0.657466 -0.050148
0.383011 0.525263 -0.066484
0.412593 0.484766 -0.062232
0.432448 0.472392 -0.055186
0.387049 0.676457 -0.057571
0.422326 0.553009 -0.063947
0.443845 0.509825 -0.051345
0.455820 0.491387 -0.040580
0.431262 0.691405 -0.065008
0.453793 0.592815 -0.063241
0.465518 0.547630 -0.050589
0.472574 0.519130 -0.039345

